"725337","04807","GARY/CHICAGO AIRPORT","US","IN","KGYY","+41.617","-087.417","+0180.1","20060101","20141005"
"725348","04831","LEWIS UNIVERSITY AIRPORT","US","IL","KLOT","+41.604","-088.085","+0195.1","20060101","20141005"
"999999","14819","CHICAGO MIDWAY AP","US","IL","KMDW","+41.786","-087.752","+0188.4","19480101","19721231"
"999999","94846","CHICAGO OHARE INTL AP","US","IL","KORD","+41.995","-087.934","+0205.4","19700101","19721231"
